Reference AGB,RF-predicted AGB
82,97.27806667
87,48.066
54,124.5755333
112,127.4928
78,65.0577
69,88.32083333
109,104.1114
104,118.1138
52,76.83626667
76,84.9465
101,87.7502
89,114.9099667
89,121.1476333
100,111.8027
80,88.13326667
72,94.9146
108,101.2222667
89,64.78386667
103,85.51596667
64,68.6089
127,110.4606667
65,86.61453333
158,107.7405667
110,91.92153333
104,91.27216667
66,82.7482
117,77.20303333
56,77.27506667
150,119.0799333
79,83.88083333
72,84.9574
79,67.84863333
124,94.71536667
54,111.3629333
78,79.0564
69,73.6895
45,71.23076667
129,116.5311
24,81.2032
85,84.58893333
82,79.46486667
124,122.6781667
72,79.03083333
102,106.0293667
40,80.93116667
96,89.72743333
136,126.3945
112,127.2959667
36,61.62156667
95,83.772
67,69.55613333
116,83.9392
133,78.33506667
65,85.7522
99,89.16343333
75,85.20766667
79,80.93346667
107,98.2502
7,83.05523333
194,133.7967667
89,87.07596667
59,59.1508
76,88.27886667
94,103.0286
51,65.08216667
19,84.00103333
72,103.7200667
102,82.2387
88,89.43823333
50,53.6723
47,47.52433333
88,89.52763333
70,54.29396667
96,129.8748
54,78.50063333
80,72.8208
106,80.18666667
90,82.02453333
47,45.3308
101,106.8112
90,61.31676667
39,79.43256667
54,72.59733333
50,61.05586667
97,83.72026667
127,142.4726667
90,101.5476
107,86.16473333
127,129.9629333
65,82.01153333
81,71.46373333
42,78.75463333
65,87.4753
106,128.2606667
128,129.5304
97,90.30013333
138,105.4721
111,101.4834333
46,70.331
96,90.06066667
131,102.2621
70,86.59066667
100,109.3821667
86,86.18966667
83,82.34633333
115,84.81913333
108,84.23083333
55,68.965
75,68.69456667
71,67.08493333
89,80.6514
84,65.3172
133,136.2881667
37,78.40176667
75,133.3816333
98,92.1004
91,74.6178
90,109.9865667
100,103.8766667
102,81.40076667
63,62.1177
94,105.1558667
117,92.91386667
106,83.19956667
86,63.0608
90,83.9338
105,107.7955
74,92.52046667
51,52.5241
114,86.55806667
72,64.50076667
107,79.25316667
76,100.1567
55,78.11383333
59,78.46066667
94,95.86923333
92,80.92286667
106,71.44103333
99,101.2849
43,79.84223333
46,76.9056
67,62.33263333
42,70.65143333
116,99.71363333
59,68.04406667
90,89.62716667
54,65.95523333
103,113.7948
71,63.99946667
83,94.56403333
107,68.5457
83,95.56333333
75,90.57003333
69,75.00066667
95,130.3046
90,99.60133333
40,88.56863333
37,81.59763333
43,67.19196667
42,65.50106667
14,80.74053333
49,61.0825
85,64.97313333
36,65.4943
63,83.933
83,89.90513333
117,81.7363
99,67.6463
84,89.9128
86,88.69456667
83,73.43566667
54,67.01856667
98,112.9055
63,85.31753333
99,76.56026667
75,69.3603
32,58.96486667
99,79.21046667
117,140.2987333
91,87.16453333
85,92.77536667
40,70.72436667
90,84.95573333
76,80.15763333
82,101.4131
31,52.3429
65,74.0858
55,53.05496667
147,100.9721667
13,52.54003333
63,57.16326667
68,73.77153333
124,98.37643333
40,58.24513333
64,106.5039
47,80.21806667
88,57.12926667
83,55.8845
76,73.23136667
57,73.78193333
84,70.71413333
120,64.05226667
47,54.39783333
71,75.20946667
96,79.584
100,83.6367
97,122.5242667
149,128.6945333
141,128.2355
130,103.9931667
120,102.9854
74,106.5138
130,148.7461
109,117.6394667
70,95.93876667
103,123.7086
126,111.5287333
136,129.2847
105,89.10723333
109,70.3245
142,82.74266667
131,134.8295
120,117.6276333
110,71.82466667
121,129.7811
49,61.41953333
162,117.2678333
106,116.9218
80,97.45096667
81,77.81483333
129,71.41706667
105,127.8584667
97,121.973
120,128.2098333
107,102.9514333
59,97.34703333
149,89.17516667
130,109.9944333
97,69.78823333
178,153.8972333
156,96.7097
49,185.7892333
191,112.6717333
64,134.8715333
74,134.0958333
158,144.4261667
80,125.0854
138,89.83853333
108,67.38123333
71,73.82216667
115,92.69296667
129,69.73926667
289,203.4151667
230,181.5316
171,157.4669
334,130.5677
184,159.9823333
160,175.0709667
127,152.3371667
189,179.1087
135,123.3054
104,83.33076667
126,102.2195667
152,77.56126667
118,78.62413333
126,111.6141333
